"temperatura_LPS22HB","humidity","speed_acceleration","pos_3d_acceleration","number_of_satellites","gps_fix","","accelerometer","gyro_accelerometer","angular_velocity","heading","gps_ecef","ecef_velocity","pressure","temperatura_HTS221","time","timeStamp"
36.5,71.09999847,308,2768,6,3,"{""x"":4051,""y"":-3691,""z"":-1746}","{""x"":881,""y"":168,""z"":86}","{""x"":972,""y"":-49,""z"":72}","{""x"":-70560,""y"":-5950,""z"":-6510}","{""x"":103,""y"":136,""z"":282}","{""x"":400055521,""y"":-436323766,""z"":-237077830}","{""x"":4051,""y"":-3691,""z"":-1746}",891.4099731,37,198,15458
36.5,71.09999847,316,2818,6,3,"{""x"":3716,""y"":-3724,""z"":-2085}","{""x"":1069,""y"":211,""z"":215}","{""x"":1150,""y"":-136,""z"":184}","{""x"":-35140,""y"":-1330,""z"":-10080}","{""x"":129,""y"":69,""z"":193}","{""x"":400059014,""y"":-436327164,""z"":-237079721}","{""x"":3716,""y"":-3724,""z"":-2085}",892.3499756,37,218,15882
36.5,71.09999847,316,2818,6,3,"{""x"":3716,""y"":-3724,""z"":-2085}","{""x"":753,""y"":273,""z"":187}","{""x"":914,""y"":-27,""z"":-48}","{""x"":66990,""y"":21350,""z"":-210}","{""x"":123,""y"":97,""z"":226}","{""x"":400059014,""y"":-436327164,""z"":-237079721}","{""x"":3716,""y"":-3724,""z"":-2085}",893.2199707,37,207,16292
36.5,71.09999847,299,2866,5,3,"{""x"":3337,""y"":-3473,""z"":-2061}","{""x"":772,""y"":39,""z"":137}","{""x"":866,""y"":-49,""z"":160}","{""x"":74900,""y"":5180,""z"":-3920}","{""x"":126,""y"":133,""z"":321}","{""x"":400060642,""y"":-436328735,""z"":-237080735}","{""x"":3337,""y"":-3473,""z"":-2061}",894.25,37,210,16695
36.5,71.09999847,299,2866,5,3,"{""x"":3337,""y"":-3473,""z"":-2061}","{""x"":854,""y"":-54,""z"":-22}","{""x"":995,""y"":45,""z"":-1}","{""x"":80500,""y"":-7140,""z"":2660}","{""x"":144,""y"":132,""z"":426}","{""x"":400060642,""y"":-436328735,""z"":-237080735}","{""x"":3337,""y"":-3473,""z"":-2061}",895.3200073,37,208,17106
36.5,71.09999847,299,2866,5,3,"{""x"":3337,""y"":-3473,""z"":-2061}","{""x"":1061,""y"":43,""z"":82}","{""x"":1110,""y"":-31,""z"":138}","{""x"":27720,""y"":4690,""z"":-7700}","{""x"":136,""y"":84,""z"":486}","{""x"":400060642,""y"":-436328735,""z"":-237080735}","{""x"":3337,""y"":-3473,""z"":-2061}",896.2800293,37,199,17508
36.5,71.09999847,322,2929,7,3,"{""x"":3093,""y"":-3389,""z"":-2212}","{""x"":870,""y"":62,""z"":121}","{""x"":961,""y"":-21,""z"":115}","{""x"":-6580,""y"":4060,""z"":-17640}","{""x"":133,""y"":69,""z"":495}","{""x"":400062813,""y"":-436331230,""z"":-237082304}","{""x"":3093,""y"":-3389,""z"":-2212}",896.8699951,37,216,17724
36.5,71.09999847,322,2929,7,3,"{""x"":3093,""y"":-3389,""z"":-2212}","{""x"":1084,""y"":-46,""z"":117}","{""x"":1173,""y"":37,""z"":120}","{""x"":420,""y"":-9800,""z"":-910}","{""x"":162,""y"":76,""z"":474}","{""x"":400062813,""y"":-436331230,""z"":-237082304}","{""x"":3093,""y"":-3389,""z"":-2212}",897.9099731,37,186,18118
36.5,71.09999847,322,2929,7,3,"{""x"":3093,""y"":-3389,""z"":-2212}","{""x"":1096,""y"":-54,""z"":4}","{""x"":1132,""y"":84,""z"":-20}","{""x"":71960,""y"":4970,""z"":7840}","{""x"":171,""y"":46,""z"":481}","{""x"":400062813,""y"":-436331230,""z"":-237082304}","{""x"":3093,""y"":-3389,""z"":-2212}",898.8200073,37,194,18519
36.5,71.09999847,331,3008,6,3,"{""x"":2909,""y"":-3409,""z"":-2226}","{""x"":948,""y"":254,""z"":195}","{""x"":1034,""y"":-33,""z"":66}","{""x"":28210,""y"":5810,""z"":-19110}","{""x"":160,""y"":-19,""z"":517}","{""x"":400065082,""y"":-436334013,""z"":-237084120}","{""x"":2909,""y"":-3409,""z"":-2226}",899.7600098,37,203,18931
